Gauge_ID	PSMSL_ID	Station_Name	Country	Basin	Station_Lat	Station_Lon	GPD_Record_Start	GPD_Record_End	MHHW_Exceedances_per_Year
gesla_0803	285	Kaskinen	Finland	atlantic	62.344	21.215	1970	2014	131.5749066
gesla_0026	229	Kemi	Finland	atlantic	65.673	24.515	1970	2014	121.3526026
gesla_1110	172	Mantyluoto	Finland	atlantic	61.594	21.463	1970	2014	133.0922759
gesla_1182	79	Oulu	Finland	atlantic	65.04	25.418	1970	2014	119.6649971
gesla_1265	194	Pietarsaari	Finland	atlantic	63.709	22.69	1970	2014	127.1080918
gesla_1140	240	Raahe	Finland	atlantic	64.666	24.407	1970	2014	125.9399002
gesla_0209	376	Rauma	Finland	atlantic	61.133	21.426	1970	2014	131.505771
gesla_0998	239	Turku	Finland	atlantic	60.428	22.101	1970	2014	120.7087105
gesla_0063	57	Vaasa	Finland	atlantic	63.081	21.571	1970	2014	130.7258406
gesla_0022	1801	Bayonne Boucau	France	atlantic	43.527	-1.515	1967	2014	215.4852843
822a	1	Brest	France	atlantic	48.38	-4.48	1846	2018	158.2551324
gesla_0923	467	Cherbourg	France	atlantic	49.651	-1.635	1943	2014	172.4843761
gesla_0431	474	Dieppe	France	atlantic	49.929	1.085	1954	2014	168.6050474
gesla_0059	468	Dunkerque	France	atlantic	51.048	2.367	1956	2014	111.1706314
gesla_1143	1294	Le Conquet	France	atlantic	48.359	-4.781	1970	2014	173.6355553
gesla_0905	453	Le Havre	France	atlantic	49.482	0.106	1938	2014	206.2677913
824a	61	Marseille	France	atlantic	43.27	5.35	1849	2018	142.6799797
019a	1011201660	Noumea	France	pacific	-22.23	166.42	1967	2018	142.1753575
gesla_0907	1247	Port-Tudy	France	atlantic	47.644	-3.446	1966	2014	186.1153499
gesla_0866	1347	Roscoff	France	atlantic	48.718	-3.966	1973	2014	188.3138105
gesla_1017	1078	Saint-Gildas	France	atlantic	47.14	-2.246	1962	2014	205.2858594
gesla_0618	469	Saint-Jean-de-Luz	France	atlantic	43.395	-1.682	1942	2014	191.7906387
015b	1397	Papeete-B	French Polynesia	pacific	-17.52	-149.57	1975	2018	150.0151106
016a	1253	Rikitea	French Polynesia	pacific	-23.12	-134.95	1969	2018	187.1501585
825a	7	Cuxhaven	Germany	atlantic	53.87	8.72	1917	2018	346.4671853
gesla_1046	638	Reykjavik	Iceland	atlantic	64.151	-21.94	1970	2014	186.4813127
834a	916	Malin Head	Ireland	atlantic	55.37	-7.33	1958	2001	199.8591564
gesla_0109	154	Trieste	Italy	atlantic	45.65	13.75	1971	2012	131.8644498
gesla_0061	87	Venezia	Italy	atlantic	45.419	12.426	1983	2014	144.5989726
347a	1104	Abashiri	Japan	pacific	44.02	144.28	1968	2018	152.2773061
354a	814	Aburatsu	Japan	pacific	31.58	131.42	1961	2018	172.9121004
047a	1391	Chichijima	Japan	pacific	27.1	142.18	1975	2018	162.5599705
gesla_0830	1264	Fukaura	Japan	pacific	40.65	139.933	1971	2013	174.6961552
gesla_0091	1101	Fukue	Japan	pacific	32.7	128.85	1964	2013	203.2579421
375a	460	Hachinohe	Japan	pacific	40.53	141.53	1980	2011	193.09684
364a	813	Hakodate	Japan	pacific	41.78	140.72	1964	2018	179.6647936
348a	94	Hamada	Japan	pacific	34.9	132.07	1984	2018	157.9834005
