Gauge_ID	PSMSL_ID	Station_Name	Country	Basin	Station_Lat	Station_Lon	GPD_Record_Start	GPD_Record_End	MHHW_Exceedances_per_Year
058a	756	"Nawiliwili, Hi"	USA	pacific	21.97	-159.35	1954	2018	163.2668291
765a	526	"Grand Isle, LA"	USA	atlantic	29.25	-89.95	1980	2018	189.472616
741a	235	"Boston, MA"	USA	atlantic	42.35	-71.05	1921	2018	135.8273438
743a	1111	"Nantucket, MA"	USA	atlantic	41.28	-70.08	1965	2018	7.016167761
742a	367	"Woods Hole, MA"	USA	atlantic	41.52	-70.67	1957	2018	265.3985349
gesla_1190	311	"Annapolis, MD"	USA	atlantic	38.983	-76.482	1950	2015	43.76370995
gesla_1240	148	"Baltimore, MD"	USA	atlantic	39.267	-76.578	1950	2015	33.52526919
gesla_0035	1295	"Cambridge, MD"	USA	atlantic	38.573	-76.068	1979	2015	21.03352177
gesla_0740	412	"Solomon's Island, MD"	USA	atlantic	38.317	-76.452	1979	2015	42.64497454
gesla_1204	525	"Bar Harbor, ME"	USA	atlantic	44.392	-68.205	1950	2015	154.7159971
740a	332	"Eastport, ME"	USA	atlantic	44.9	-66.98	1929	2018	72.42609997
252a	183	"Portland, ME"	USA	atlantic	43.65	-70.23	1910	2018	144.9954035
260a	1636	"Duck Pier, NC"	USA	atlantic	36.18	-75.73	1978	2018	162.0156391
750a	396	"Wilmington, NC"	USA	atlantic	34.22	-77.95	1935	2018	232.8188045
264a	180	"Atlantic City, NJ"	USA	atlantic	39.35	-74.42	1911	2018	156.9784172
746a	1153	"Cape May, NJ"	USA	atlantic	38.97	-74.95	1965	2018	39.48590491
gesla_1005	366	"Sandy Hook, NJ"	USA	atlantic	40.467	-74.009	1950	2015	146.4766595
279a	519	"Montauk, NY"	USA	atlantic	41.03	-71.95	1947	2018	295.7671761
745a	12	"New York, NY"	USA	atlantic	40.7	-74	1920	2018	208.331823
gesla_1194	362	"Willets Point, NY"	USA	atlantic	40.793	-73.782	1950	2000	14.76964435
572a	265	"Astoria, OR"	USA	pacific	46.2	-123.77	1925	2018	365.2390941
575a	1269	"Charleston, OR"	USA	pacific	43.33	-124.32	1970	2018	164.6242864
557a	1640	"Port Orford, OR"	USA	pacific	42.73	-124.48	1978	2018	178.4233231
592a	1196	"South Beach, OR"	USA	pacific	44.62	-124.03	1967	2018	171.7247675
253a	351	"Newport, RI"	USA	atlantic	41.5	-71.32	1930	2018	135.5193941
gesla_1021	430	"Providence, RI"	USA	atlantic	41.807	-71.401	1979	2015	67.68982801
261b	234	"Charleston, SC"	USA	atlantic	32.77	-79.92	1921	2018	231.5782969
gesla_0768	1444	"Springmaid Pier, SC"	USA	atlantic	33.655	-78.918	1976	2015	214.8764949
770a	1903	"Corpus Cristi, TX"	USA	atlantic	27.57	-97.22	1983	2018	152.4148552
gesla_0452	725	"Freeport, TX"	USA	atlantic	28.948	-95.308	1954	2008	187.6208949
767a	161	"Galveston P.Pier, TX"	USA	atlantic	29.28	-94.78	1957	2011	145.5859563
775a	161	"Galveston Pier 21, TX"	USA	atlantic	29.3	-94.78	1904	2018	214.0084211
772a	497	"Port Isabel, TX"	USA	atlantic	26.05	-97.2	1944	2018	215.1617222
769a	538	"Rockport, TX"	USA	atlantic	28.02	-97.03	1937	2018	256.0131468
766a	1835	"Sabine Pass N, TX"	USA	atlantic	29.72	-93.87	1985	2018	222.988594
749a	1635	"Chesapeake BBT, VA"	USA	atlantic	36.97	-76.1	1975	2016	109.9968664
gesla_0145	299	"Sewells Point, VA"	USA	atlantic	36.947	-76.33	1950	2015	63.47880279
558a	385	"Neah Bay, WA"	USA	pacific	48.37	-124.62	1934	2018	174.9556435
gesla_0428	127	"Seattle, WA"	USA	pacific	47.603	-122.339	1950	2015	186.6926843
564a	1354	"Willapa Bay, WA"	USA	pacific	46.7	-123.95	1972	2018	204.9653508
246a	759	"Magueyes Island, PR"	USA Trust	atlantic	17.97	-67.03	1954	2018	193.1125206
245a	1001	"San Juan, PR"	USA Trust	atlantic	18.45	-66.12	1977	2018	220.7437232
255a	1393	"Charlotte Amalie, VI"	USA Trust	atlantic	18.33	-64.92	1978	2018	149.371181
254a	1447	"Limetree Bay, VI"	USA Trust	atlantic	17.68	-64.75	1982	2018	171.9450837
053a	540	"Apra Harbor, Guam"	USA Trust	pacific	13.43	144.65	1948	2018	157.970872
052a	598	Johnston	USA Trust	pacific	16.73	-169.52	1947	2018	172.2746543
050a	523	Midway	USA Trust	pacific	28.22	-177.37	1947	2018	118.5848867
056a	539	Pago Pago	USA Trust	pacific	-14.28	-170.68	1948	2018	169.6618658
028b	1474	"Saipan-B, N. Mariana Islands"	USA Trust	pacific	15.22	145.73	1978	2018	120.4935713
051a	595	Wake	USA Trust	pacific	19.28	166.62	1950	2018	208.4466913
