Gauge	PSMSL_ID	Short_Name	Lat	Lon	Long_Name	Region	Basin	Record_Start	Record_End	N_Obs	QA_YR1	QA_YR2	QA_Yrs	QA_frac	QA_Pass	Adj
371A	522	Lega	13.13	123.75	Legaspi	Philippines	Pacific	1984	2017	12419	1984	2017	34	0.85	TRUE	0.007635241
370A	145	Mani	14.58	120.97	Manila	Philippines	Pacific	1984	2014	11323	1984	2014	31	0.91	TRUE	0.005689852
GESLA_0093	645	Wlad	54.797	18.419	Wladyslawowo	Poland	Atlantic	1962	2003	14431	1962	2003	42	0.96	TRUE	0.054378538
209A	52	Casc	38.68	-9.42	Cascais	Portugal	Atlantic	1959	2005	17167	1959	2005	47	0.88	TRUE	0.040570961
218B	1030	Func	32.63	-16.9	Funchal-B	Portugal	Atlantic	1976	2013	13880	1982	2013	32	0.82	TRUE	-0.012472683
011B	801	Chri	1.97	-157.47	Christmas-B	Rep. of Kiribati	Pacific	1974	2018	16436	1974	2018	45	0.91	TRUE	-0.007211401
013B	575	Kant	-2.8	-171.72	Kanton-B	Rep. of Kiribati	Pacific	1972	2018	17167	1972	2018	47	0.82	TRUE	-0.038585706
109A	1707	Gan	-0.68	73.15	Gan	Rep. of Maldives	Indian	1987	2017	11323	1987	2017	31	0.92	TRUE	0.029305726
055A	513	Kwaj	8.73	167.73	Kwajalein	Rep. of Marshall Islands	Pacific	1946	2018	26663	1946	2018	73	0.97	TRUE	-0.002443309
005A	1217	Maju	7.1	171.37	Majuro-A	Rep. of Marshall Islands	Pacific	1968	1999	11688	1968	1999	32	0.9	TRUE	-0.014115088
007B	1252	Mala	7.32	134.45	Malakal-B	Republic of Belau	Pacific	1969	2017	17897	1969	2017	49	0.95	TRUE	0.031691027
340A	1356	Kaoh	22.6	120.28	Kaohsiung	Republic of China	Pacific	1980	2016	13515	1980	2016	37	0.95	TRUE	-0.016434718
341A	545	Keel	25.15	121.75	Keelung	Republic of China	Pacific	1980	2016	13515	1980	2016	37	0.86	TRUE	0.058259663
699A	1746	Tanj	1.25	103.85	Tanjong Pagar	Singapore	Pacific	1988	2018	11323	1988	2018	31	0.95	TRUE	0.416491109
184A	820	Port	-33.95	25.62	Port Elizabeth	South Africa	Indian	1973	2016	16071	1978	2016	39	0.81	TRUE	0.035011653
221A	826	Simo	-34.18	18.43	Simon's Town	South Africa	Atlantic	1959	2016	21185	1959	1999	41	0.8	TRUE	0.033222115
GESLA_0169	593	Arre	28.972	-13.53	Arrecife	Spain	Atlantic	1949	2012	19054	1949	2012	64	0.82	TRUE	0.006938973
GESLA_0199	209	Cadi	36.533	-6.283	Cadiz	Spain	Atlantic	1961	2012	18111	1961	2012	52	0.95	TRUE	0.038811291
207A	498	Ceut	35.9	-5.32	Ceuta	Spain	Atlantic	1944	2013	25568	1944	2013	70	0.96	TRUE	0.015344272
830A	484	La C	43.37	-8.4	La Coruna	Spain	Atlantic	1943	2013	25933	1943	2013	71	0.97	TRUE	-0.007337725
GESLA_0266	496	Mala	36.717	-4.417	Malaga	Spain	Atlantic	1944	2012	20739	1944	2012	69	0.82	TRUE	0.014907937
GESLA_0113	485	Sant	43.461	-3.791	Santander	Spain	Atlantic	1943	2010	23901	1943	2010	68	0.97	TRUE	-0.01694679
GESLA_1085	485	sant	43.467	-3.8	Santander	Spain	Atlantic	1943	2010	23901	1943	2010	68	0.96	TRUE	-0.019060702
GESLA_0072	488	Tari	36	-5.6	Tarifa	Spain	Atlantic	1944	2012	23356	1944	2012	69	0.93	TRUE	-0.081984216
208A	483	Vigo	42.23	-8.73	Vigo	Spain	Atlantic	1943	1990	17532	1943	1990	48	0.99	TRUE	0.008049177
GESLA_0752	2103	Fors	60.409	18.211	Forsmark	Sweden	Atlantic	1975	2015	14393	1975	2015	41	1	TRUE	0.056485321
GESLA_0484	203	Furu	64.916	21.231	Furuogrund	Sweden	Atlantic	1960	2015	20001	1960	2015	56	1	TRUE	0.07102218
819A	1236	Gote	57.68	11.78	Goteborg-Torsh.	Sweden	Atlantic	1967	2014	17532	1967	2014	48	0.98	TRUE	0.066763178
GESLA_0352	2101	Kali	65.697	23.096	Kalix	Sweden	Atlantic	1974	2015	14661	1974	2015	42	0.99	TRUE	0.095630356
GESLA_0448	330	Klag	55.522	12.894	Klagshamn	Sweden	Atlantic	1960	2015	20089	1960	2015	56	1	TRUE	0.091368856
GESLA_0290	70	Kung	56.105	15.589	Kungsholmsfort	Sweden	Atlantic	1960	2015	20025	1960	2015	56	1	TRUE	0.059253061
GESLA_0691	2113	Kung	58.997	11.127	Kungsvik	Sweden	Atlantic	1973	2015	15128	1973	2015	43	1	TRUE	0.070273235
GESLA_0382	68	Land	58.742	17.865	Landsort	Sweden	Atlantic	1960	2006	17058	1960	2006	47	1	TRUE	0.019089186
GESLA_0160	2104	Marv	58.554	16.837	Marviken	Sweden	Atlantic	1964	2015	18307	1964	2015	52	1	TRUE	0.034779514
GESLA_0183	69	Olan	57.366	17.097	Olands Norra Udde	Sweden	Atlantic	1960	2015	18286	1960	2015	56	0.91	TRUE	0.032212885
GESLA_1010	2106	Oska	57.275	16.478	Oskarshamn	Sweden	Atlantic	1960	2015	19757	1960	2015	56	1	TRUE	0.038666836
GESLA_0467	88	Rata	63.986	20.895	Ratan	Sweden	Atlantic	1960	2015	20089	1960	2015	56	1	TRUE	0.063595607
GESLA_0301	2111	Ring	57.25	12.113	Ringhals	Sweden	Atlantic	1967	2015	16523	1967	2015	49	0.96	TRUE	0.046088493
GESLA_0362	2102	Skag	63.191	19.012	Skagsudde	Sweden	Atlantic	1982	2015	8799	1986	2015	30	0.82	TRUE	0.055854352
GESLA_1206	179	Smog	58.354	11.218	Smogen	Sweden	Atlantic	1960	2015	20089	1960	2015	56	1	TRUE	0.055296088
GESLA_0613	122	Spik	62.363	17.531	Spikarna	Sweden	Atlantic	1968	2015	16890	1968	2015	48	1	TRUE	0.049748296
GESLA_0335	2112	Sten	58.093	11.832	Stenungsund	Sweden	Atlantic	1962	2015	18011	1962	2015	54	0.94	TRUE	0.085957691
826A	78	Stoc	59.32	18.07	Stockholm	Sweden	Atlantic	1889	2014	46020	1889	2014	126	0.99	TRUE	0.039270887
GESLA_1146	2110	Vike	56.142	12.579	Viken	Sweden	Atlantic	1976	2015	14132	1976	2015	40	1	TRUE	0.070039726
GESLA_1048	2105	Visb	57.639	18.284	Visby	Sweden	Atlantic	1960	2015	19843	1960	2015	56	0.99	TRUE	0.029180052
151A	1600	Zanz	-6.15	39.18	Zanzibar	Tanzania	Indian	1984	2017	12419	1984	2017	34	0.95	TRUE	0.44676303
328A	174	Ko L	11.78	99.82	Ko Lak	Thailand	Pacific	1985	2017	12053	1985	2017	33	0.93	TRUE	0.028932366
148A	446	Ko T	7.82	98.42	Ko Taphao Noi	Thailand	Indian	1985	2017	12053	1985	2017	33	0.97	TRUE	0.000984159
GESLA_0828	361	Aber	57.143	-2.075	Aberdeen	United Kingdom	Atlantic	1930	2014	18864	1964	2014	51	0.81	TRUE	0.045597407
259B	368	Berm	32.37	-64.7	Bermuda-B	United Kingdom	Atlantic	1985	2018	12418	1985	2018	34	0.83	TRUE	0.024501484
GESLA_0064	1632	Crom	52.934	1.302	Cromer	United Kingdom	Atlantic	1973	2014	9589	1985	2014	30	0.81	TRUE	0.135005717
700A	913	Fara	-65.25	-64.27	Faraday	United Kingdom	Atlantic	1959	2018	21915	1977	2018	42	0.81	TRUE	0.028080015
GESLA_0446	939	Fish	52.014	-4.983	Fishguard	United Kingdom	Atlantic	1963	2014	17612	1963	2014	52	0.9	TRUE	0.112320991
289A	490	Gibr	36.13	-5.35	Gibraltar-A	United Kingdom	Atlantic	1961	2014	19723	1961	1992	32	0.82	TRUE	0.042454615
GESLA_1233	936	Heys	54.032	-2.92	Heysham	United Kingdom	Atlantic	1964	2014	17001	1964	2014	51	0.81	TRUE	-0.085101235
GESLA_0489	5	Holy	53.308	-4.631	Holyhead	United Kingdom	Atlantic	1964	2014	14284	1980	2014	35	0.8	TRUE	0.207999782
GESLA_0322	1214	Ilfr	51.211	-4.111	Ilfracombe	United Kingdom	Atlantic	1968	2014	12675	1984	2014	31	0.81	TRUE	0.071859729
GESLA_0205	286	Immi	53.631	-0.186	Immingham	United Kingdom	Atlantic	1953	2014	19681	1953	2014	62	0.82	TRUE	0.350744386
293A	830	Lerw	60.15	-1.13	Lerwick	United Kingdom	Atlantic	1959	2016	21185	1959	2016	58	0.93	TRUE	-0.004070537
GESLA_0593	754	Lowe	52.473	1.751	Lowestoft	United Kingdom	Atlantic	1964	2014	18309	1964	2014	51	0.97	TRUE	0.044949534
GESLA_1059	66	Milf	51.702	-5.014	Milford Haven	United Kingdom	Atlantic	1953	2014	17031	1975	2012	38	0.8	TRUE	0.032555684
GESLA_0665	755	Mill	55.75	-4.906	Millport	United Kingdom	Atlantic	1978	2014	11669	1978	2014	37	0.85	TRUE	0.094532424
GESLA_0560	1548	Newh	50.782	0.057	Newhaven	United Kingdom	Atlantic	1982	2014	9955	1982	2014	33	0.82	TRUE	0.166747353
294A	202	Newl	50.1	-5.53	"Newlyn, Cornwall"	United Kingdom	Atlantic	1915	2016	37256	1915	2016	102	0.97	TRUE	0.007071861
GESLA_0520	95	Nort	55.007	-1.44	North Shields	United Kingdom	Atlantic	1946	2014	17155	1962	2014	53	0.8	TRUE	0.065458811
GESLA_0173	1215	Port	54.843	-5.12	Portpatrick	United Kingdom	Atlantic	1968	2014	16258	1968	2014	47	0.87	TRUE	0.094001517
GESLA_1115	3	Shee	51.442	0.743	Sheerness	United Kingdom	Atlantic	1952	2014	16402	1965	2010	46	0.8	TRUE	0.657732424
295A	314	Stor	58.2	-6.38	Stornoway	United Kingdom	Atlantic	1976	2016	14976	1976	2016	41	0.8	TRUE	-0.011613927
GESLA_0289	1112	Ulla	57.895	-5.158	Ullapool	United Kingdom	Atlantic	1966	2014	14916	1974	2014	41	0.8	TRUE	0.062477334
GESLA_0038	1505	Whit	54.49	-0.614	Whitby	United Kingdom	Atlantic	1980	2014	12060	1980	2014	35	0.88	TRUE	0.078688358
GESLA_0658	1109	Wick	58.441	-3.086	Wick	United Kingdom	Atlantic	1965	2014	17124	1965	2014	50	0.9	TRUE	0.049990358
040A	487	Adak	51.85	-176.62	"Adak, AK"	USA	Pacific	1950	2018	25202	1950	2018	69	0.92	TRUE	0.042207485
GESLA_0609	1067	Anch	61.238	-149.89	"Anchorage, AK"	USA	Pacific	1979	2015	10896	1979	2015	37	0.83	TRUE	2.902010523
583B	566	Cord	60.55	-145.75	"Cordova-B, AK"	USA	Pacific	1964	2018	20089	1964	2018	55	0.88	TRUE	0.273303266
041B	390	Dutc	53.87	-166.53	"Dutch Harbor-B, AK"	USA	Pacific	1982	2018	13514	1982	2018	37	0.98	TRUE	-0.01508274
GESLA_0050	405	June	58.298	-134.412	"Juneau, AK"	USA	Atlantic	1979	2015	12905	1979	2015	37	1	TRUE	-0.031161514
571A	225	Ketc	55.33	-131.62	"Ketchikan, AK"	USA	Pacific	1918	2018	36890	1936	2018	83	0.8	TRUE	0.117130945
039A	567	Kodi	57.72	-152.5	"Kodiak Island, AK"	USA	Pacific	1975	2018	16071	1975	2018	44	0.88	TRUE	0.015898552
579A	1857	Prud	70.4	-148.52	"Prudhoe Bay, AK"	USA	Pacific	1989	2018	10957	1989	2018	30	0.94	TRUE	0.032334183
574A	1634	Sand	55.33	-160.5	"Sand Point, AK"	USA	Pacific	1973	2018	16801	1973	2018	46	0.97	TRUE	-0.13846695
561A	1070	Seld	59.43	-151.72	"Seldovia, AK"	USA	Pacific	1975	2018	16071	1975	2018	44	0.88	TRUE	-0.005700937
560C	266	Sewa	60.12	-149.42	"Seward-C, AK"	USA	Pacific	1967	2018	18993	1967	2018	52	0.9	TRUE	-0.007787452
559A	426	Sitk	57.05	-135.33	"Sitka, AK"	USA	Pacific	1938	2018	29585	1938	2018	81	0.99	TRUE	0.003214328
GESLA_1263	495	Skag	59.45	-135.327	"Skagway, AK"	USA	Pacific	1982	2015	11880	1982	2015	34	0.98	TRUE	0.031094272
562A	1353	Vald	61.12	-146.35	"Valdez, AK"	USA	Pacific	1973	2018	16801	1973	2018	46	0.89	TRUE	-0.159121949
570A	445	Yaku	59.53	-139.73	"Yakutat, AK"	USA	Pacific	1961	2018	21184	1961	2018	58	0.93	TRUE	0.008005748
763A	1156	Daup	30.25	-88.07	"Dauphin Island, AL"	USA	Atlantic	1981	2018	13879	1981	2018	38	0.87	TRUE	-0.008347476
GESLA_0825	437	Alam	37.772	-122.298	"Alameda, CA"	USA	Pacific	1976	2015	13001	1976	2015	40	0.91	TRUE	0.206577766
573A	2125	Aren	38.9	-123.7	"Arena Cove, CA"	USA	Pacific	1979	2018	14610	1984	2018	35	0.8	TRUE	0.010016033
556A	378	Cres	41.73	-124.18	"Crescent City, CA"	USA	Pacific	1933	2018	31411	1933	2018	86	0.91	TRUE	-0.010931862
576A	1639	Humb	40.77	-124.22	"Humboldt Bay, CA"	USA	Pacific	1977	2018	15340	1977	2018	42	0.97	TRUE	0.025868946
554A	256	La J	32.87	-117.25	"La Jolla, CA"	USA	Pacific	1924	2018	34699	1924	2018	95	0.93	TRUE	-0.00123532
567A	245	Los 	33.72	-118.27	"Los Angeles, CA"	USA	Pacific	1923	2018	35064	1923	2018	96	0.98	TRUE	0.015632688
555A	1352	Mont	36.6	-121.88	"Monterey, CA"	USA	Pacific	1973	2018	16801	1973	2018	46	0.98	TRUE	0.00291326
565A	508	Port	35.17	-120.75	"Port San Luis, CA"	USA	Pacific	1948	2018	25933	1948	2018	71	0.9	TRUE	0.010038011
569A	158	San 	32.7	-117.17	"San Diego, CA"	USA	Pacific	1906	2018	41273	1906	2018	113	0.98	TRUE	0.04051336
551A	10	San 	37.8	-122.45	"San Francisco, CA"	USA	Pacific	1897	2018	44559	1897	2018	122	0.99	TRUE	0.02013355
578A	377	Sant	34	-118.5	"Santa Monica, CA"	USA	Pacific	1973	2018	16801	1973	2018	46	0.93	TRUE	0.017204658
GESLA_0425	1068	Brid	41.173	-73.182	"Bridgeport, CT"	USA	Atlantic	1970	2015	16286	1970	2015	46	0.99	TRUE	0.437953988
744A	429	New 	41.35	-72.08	"New London, CT"	USA	Atlantic	1938	2018	29585	1938	2018	81	0.95	TRUE	-0.017278994
GESLA_0834	360	Wash	38.873	-77.022	"Washington, DC"	USA	Atlantic	1950	2015	23217	1950	2015	66	0.97	TRUE	0.443029993
747A	224	Lewe	38.77	-75.12	"Lewes, DE"	USA	Atlantic	1919	2018	36525	1931	2018	88	0.81	TRUE	0.170609613
GESLA_0170	786	Reed	39.558	-75.573	"Reedy Point, DE"	USA	Atlantic	1979	2015	12437	1979	2015	37	0.95	TRUE	0.407480724
760A	1193	Apal	29.72	-84.97	"Apalachicola, FL"	USA	Atlantic	1976	2018	15706	1976	2018	43	0.98	TRUE	0.025260536
240A	112	Fern	30.67	-81.47	"Fernandina Beach, FL"	USA	Atlantic	1897	2018	44559	1981	2018	38	0.81	TRUE	-0.046902896
242A	188	Key 	24.55	-81.8	"Key West, FL"	USA	Atlantic	1913	2018	38716	1913	2018	106	0.98	TRUE	0.032756825
753A	316	Mayp	30.38	-81.42	"Mayport, FL"	USA	Atlantic	1928	2000	26664	1928	2000	73	0.98	TRUE	-0.097274677
757A	1107	Napl	26.12	-81.8	"Naples, FL"	USA	Atlantic	1965	2018	19723	1965	2018	54	0.97	TRUE	-0.024422231
762A	246	Pens	30.4	-87.2	"Pensacola, FL"	USA	Atlantic	1923	2018	35064	1923	2018	96	0.97	TRUE	-0.008192335
759A	520	St. 	27.75	-82.62	"St. Petersburg, FL"	USA	Atlantic	1946	2018	26663	1946	2018	73	0.95	TRUE	-0.000384898
752A	395	Fort	32.03	-80.9	"Fort Pulaski, GA"	USA	Atlantic	1935	2018	30681	1935	2018	84	0.95	TRUE	-0.061156338
014A	1372	Fren	23.87	-166.28	"French Frigate-A, HI"	USA	Pacific	1974	2007	12418	1974	2007	34	0.91	TRUE	0.003980145
060A	300	Hilo	19.73	-155.07	"Hilo, HI"	USA	Pacific	1927	2018	33603	1927	2018	92	0.83	TRUE	0.001355298
057B	155	Hono	21.3	-157.87	"Honolulu, HI"	USA	Pacific	1905	2018	41638	1905	2018	114	0.99	TRUE	0.024280568
059A	521	Kahu	20.9	-156.47	"Kahului, HI"	USA	Pacific	1950	2018	25202	1950	2018	69	0.93	TRUE	0.031728875
552A	2128	Kawa	20.03	-155.83	"Kawaihae, HI"	USA	Pacific	1989	2018	10957	1989	2018	30	0.92	TRUE	0.038715264
061A	823	Moku	21.43	-157.8	"Mokuoloe, HI"	USA	Pacific	1957	2018	22645	1957	2018	62	0.83	TRUE	0.02721273
058A	756	Nawi	21.97	-159.35	"Nawiliwili, Hi"	USA	Pacific	1954	2018	23741	1954	2018	65	0.97	TRUE	0.013767796
765A	526	Gran	29.25	-89.95	"Grand Isle, LA"	USA	Atlantic	1980	2018	14245	1980	2018	39	0.98	TRUE	-0.005037495
741A	235	Bost	42.35	-71.05	"Boston, MA"	USA	Atlantic	1921	2018	35794	1921	2018	98	0.99	TRUE	0.067409201
743A	1111	Nant	41.28	-70.08	"Nantucket, MA"	USA	Atlantic	1965	2018	19723	1965	2018	54	0.96	TRUE	0.343165123
742A	367	Wood	41.52	-70.67	"Woods Hole, MA"	USA	Atlantic	1957	2018	22645	1957	2018	62	0.92	TRUE	-0.095027891
GESLA_1190	311	Anna	38.983	-76.482	"Annapolis, MD"	USA	Atlantic	1950	2015	22669	1950	2015	66	0.95	TRUE	0.178409398
GESLA_1240	148	Balt	39.267	-76.578	"Baltimore, MD"	USA	Atlantic	1950	2015	23428	1950	2015	66	0.98	TRUE	0.220488178
GESLA_0035	481	Camb	38.573	-76.068	"Cambridge, MD"	USA	Atlantic	1979	2015	12897	1979	2015	37	0.99	TRUE	0.244199134
GESLA_0740	412	Solo	38.317	-76.452	"Solomon's Island, MD"	USA	Atlantic	1979	2015	11540	1979	2015	37	0.89	TRUE	0.173223391
GESLA_1204	525	Bar-	44.392	-68.205	"Bar Harbor, ME"	USA	Atlantic	1950	2015	18397	1966	2015	50	0.81	TRUE	0.025741385
740A	332	East	44.9	-66.98	"Eastport, ME"	USA	Atlantic	1929	2018	32872	1929	2018	90	0.93	TRUE	0.369631546
252A	183	Port	43.65	-70.23	"Portland, ME"	USA	Atlantic	1910	2018	39812	1910	2018	109	0.97	TRUE	0.033006178
260A	1636	Duck	36.18	-75.73	"Duck Pier, NC"	USA	Atlantic	1978	2018	14975	1978	2018	41	0.98	TRUE	0.022566592
750A	396	Wilm	34.22	-77.95	"Wilmington, NC"	USA	Atlantic	1935	2018	30681	1935	2018	84	0.97	TRUE	-0.095590942
264A	180	Atla	39.35	-74.42	"Atlantic City, NJ"	USA	Atlantic	1911	2018	39447	1911	2018	108	0.94	TRUE	0.039831793
746A	1153	Cape	38.97	-74.95	"Cape May, NJ"	USA	Atlantic	1965	2018	19723	1965	2018	54	0.89	TRUE	0.251969821
GESLA_1005	366	Sand	40.467	-74.009	"Sandy Hook, NJ"	USA	Atlantic	1950	2015	23208	1950	2015	66	0.97	TRUE	0.044886334
279A	519	Mont	41.03	-71.95	"Montauk, NY"	USA	Atlantic	1947	2018	26298	1947	2018	72	0.91	TRUE	-0.131349959
745A	12	New 	40.7	-74	"New York, NY"	USA	Atlantic	1920	2018	36160	1920	2018	99	0.87	TRUE	-0.040884972
GESLA_1194	362	Will	40.793	-73.782	"Willets Point, NY"	USA	Atlantic	1950	2000	17086	1950	2000	51	0.92	TRUE	0.417072078
572A	265	Asto	46.2	-123.77	"Astoria, OR"	USA	Pacific	1925	2018	34333	1925	2018	94	0.99	TRUE	-0.895538717
575A	1269	Char	43.33	-124.32	"Charleston, OR"	USA	Pacific	1970	2018	17897	1970	2018	49	0.91	TRUE	0.011211663
557A	1640	Port	42.73	-124.48	"Port Orford, OR"	USA	Pacific	1978	2018	14975	1978	2018	41	0.86	TRUE	-0.007704942
592A	1196	Sout	44.62	-124.03	"South Beach, OR"	USA	Pacific	1967	2018	18993	1967	2018	52	0.99	TRUE	0.008269369
253A	351	Newp	41.5	-71.32	"Newport, RI"	USA	Atlantic	1930	2018	32507	1930	2018	89	0.95	TRUE	0.055062546
GESLA_1021	430	Prov	41.807	-71.401	"Providence, RI"	USA	Atlantic	1979	2015	13065	1979	2015	37	1	TRUE	0.190076577
261B	234	Char	32.77	-79.92	"Charleston, SC"	USA	Atlantic	1921	2018	35794	1921	2018	98	0.98	TRUE	-0.075715496
GESLA_0768	862	Spri	33.655	-78.918	"Springmaid Pier, SC"	USA	Atlantic	1976	2015	12760	1976	2015	40	0.91	TRUE	-0.055600174
770A	1903	Corp	27.57	-97.22	"Corpus Cristi, TX"	USA	Atlantic	1983	2018	13149	1983	2018	36	0.93	TRUE	0.023739918
GESLA_0452	725	Free	28.948	-95.308	"Freeport, TX"	USA	Atlantic	1954	2008	19250	1954	2008	55	0.98	TRUE	-0.010660862
767A	161	Galv	29.28	-94.78	"Galveston P.Pier, TX"	USA	Atlantic	1957	2011	20088	1957	2011	55	0.94	TRUE	0.043476447
775A	161	Galv	29.3	-94.78	"Galveston Pier 21, TX"	USA	Atlantic	1904	2018	42004	1904	2018	115	0.97	TRUE	-0.043053037
772A	497	Port	26.05	-97.2	"Port Isabel, TX"	USA	Atlantic	1944	2018	27394	1944	2018	75	0.93	TRUE	-0.039543485
769A	538	Rock	28.02	-97.03	"Rockport, TX"	USA	Atlantic	1937	2018	29950	1944	2018	75	0.81	TRUE	-0.075604151
766A	920	Sabi	29.72	-93.87	"Sabine Pass N, TX"	USA	Atlantic	1985	2018	12418	1985	2018	34	0.98	TRUE	-0.042574322
749A	1635	Ches	36.97	-76.1	"Chesapeake BBT, VA"	USA	Atlantic	1975	2016	15341	1975	2016	42	0.99	TRUE	0.082565853
GESLA_0145	299	Sewe	36.947	-76.33	"Sewells Point, VA"	USA	Atlantic	1950	2015	23707	1950	2015	66	0.99	TRUE	0.155420085
558A	385	Neah	48.37	-124.62	"Neah Bay, WA"	USA	Pacific	1934	2018	31046	1934	2018	85	0.97	TRUE	-0.009803599
GESLA_0428	127	Seat	47.603	-122.339	"Seattle, WA"	USA	Pacific	1950	2015	23777	1950	2015	66	1	TRUE	-0.015399333
564A	1354	Will	46.7	-123.95	"Willapa Bay, WA"	USA	Pacific	1972	2018	17167	1972	2018	47	0.94	TRUE	-0.06794336
246A	759	Magu	17.97	-67.03	"Magueyes Island, PR"	USA Trust	Atlantic	1954	2018	23741	1954	2018	65	0.88	TRUE	-0.005889378
245A	1001	San 	18.45	-66.12	"San Juan, PR"	USA Trust	Atlantic	1977	2018	15340	1977	2018	42	0.94	TRUE	-0.022098974
255A	1393	Char	18.33	-64.92	"Charlotte Amalie, VI"	USA Trust	Atlantic	1978	2018	14975	1978	2018	41	0.88	TRUE	0.020230908
254A	1447	Lime	17.68	-64.75	"Limetree Bay, VI"	USA Trust	Atlantic	1982	2018	13514	1982	2018	37	0.92	TRUE	0.006169559
053A	540	Apra	13.43	144.65	"Apra Harbor, Guam"	USA Trust	Pacific	1948	2018	25933	1948	2018	71	0.93	TRUE	0.018894193
052A	598	John	16.73	-169.52	Johnston	USA Trust	Pacific	1947	2018	26298	1947	2018	72	0.9	TRUE	0.009921041
050A	523	Midw	28.22	-177.37	Midway	USA Trust	Pacific	1947	2018	26298	1947	2018	72	0.94	TRUE	0.034236811
056A	539	Pago	-14.28	-170.68	Pago Pago	USA Trust	Pacific	1948	2018	25933	1948	2018	71	0.95	TRUE	-0.003335404
028B	1474	Saip	15.22	145.73	"Saipan-B, N. Mariana Islands"	USA Trust	Pacific	1978	2018	14975	1978	2018	41	0.87	TRUE	0.039299306
051A	595	Wake	19.28	166.62	Wake	USA Trust	Pacific	1950	2018	25202	1950	2018	69	0.93	TRUE	-0.021076478
