"Gauge_ID"	"PSMSL_ID"	"Station_Name"	"Country"	"Basin"	"Station_Lat"	"Station_Lon"	"Distrib_Fit_Start"	"Distrib_Fit_End"	"MHHW_Exceedances_per_Year"	"GPD_Lambda"	"GPD_Threshold"	"GPD_Shape50"	"GPD_Shape5"	"GPD_Shape95"	"GPD_Scale50"	"GPD_Scale5"	"GPD_Scale95"	"GPD_Vshape"	"GPD_Vscale"	"GPD_Vscaleshape"	"Phi"	"Norm_Max_Mu"	"Norm_Max_Sigma"
"285a"	157	"Buenos Aires"	"Argentina"	"atlantic"	-34.67	-58.5	1905	1961	158.939367374388	2.94754539340955	1.27295737752161	0.118089913381266	-0.049919588458525	0.286099415221057	0.203933015924579	0.157983201676934	0.249882830172224	0.00734803990515102	0.000549631150025344	-0.00133815872522368	0.00806993947545393	-0.00512317488495736	0.472007874939733
"331a"	822	"Brisbane"	"Australia"	"pacific"	-27.37	153.17	1984	2016	183.448264863486	1.92612911457004	0.478968320133389	-0.225169524305487	-0.437357419910665	-0.0129816287003092	0.0743135685112147	0.0503796325628941	0.0982475044595354	0.0117204700461213	0.000149118685560921	-0.0010800794270144	0.00527345411244365	0.0027099208818792	0.213919764104318
"166a"	1159	"Broome"	"Australia"	"indian"	-18	122.22	1986	2016	196.906056471082	2.10861236485777	1.94324354748603	-0.289352939137212	-0.560599958020172	-0.0181059202542514	0.155925993829984	0.0980997468872864	0.213752240772682	0.0191528657958121	0.000870470045771212	-0.00356929618581528	0.00577306602288233	0.00201483330528408	1.08572679737445
"332a"	1154	"Bundaberg"	"Australia"	"pacific"	-24.77	152.37	1984	2016	185.007132037364	1.78275687957586	0.654827253201157	0.157653549093149	-0.0692688463297098	0.384575944516007	0.06301103317337	0.0415564445043576	0.0844656218423824	0.0134047443817564	0.000119824107569983	-0.000645933024146714	0.00488092232601195	0.000921089774412357	0.296784129009896
"171a"	983	"Cocos"	"Australia"	"indian"	-12.12	96.88	1985	2016	177.523151280812	1.23574190430159	0.388661689478778	-0.468724462916358	-0.763339469384228	-0.174109456448488	0.0808492479543249	0.0472669535630016	0.114431542345648	0.0225950624717043	0.000293578702577821	-0.00241096130184275	0.00338327694538424	-0.000595149573904639	0.16757817262958
"168a"	935	"Darwin"	"Australia"	"indian"	-12.47	130.83	1984	2016	199.012198808187	2.08191553674756	1.26389994517544	-0.0918261119255996	-0.361447484194392	0.177795260343192	0.0970373730933267	0.0620070180553398	0.132067728131314	0.0189239785657707	0.0003194426470165	-0.00195834870814651	0.00569997409102686	-0.00396290999340168	0.706088749671365
"176a"	1114	"Esperance"	"Australia"	"indian"	-33.87	121.88	1985	2016	179.814384841206	2.2095009340806	0.479618281906418	-0.234370390575371	-0.53024541838252	0.0615046372317781	0.116903218803791	0.0730259438789991	0.160780493728584	0.0227887467147345	0.000501167745038572	-0.00297218451444833	0.00604928387154168	1.35314393772083e-05	0.194479181467848
"333a"	65	"Fort Denison"	"Australia"	"pacific"	-33.85	151.22	1965	2015	178.093284011745	1.72436524843111	0.439529117442668	-0.20109726083186	-0.353208865710787	-0.048985655952933	0.0827529227496413	0.0611680880940458	0.104337757405237	0.00602321706904618	0.000121283374066004	-0.00066069491278186	0.00472105475272036	0.00517872306187514	0.179145573427792
"175a"	111	"Fremantle"	"Australia"	"indian"	-32.05	115.73	1984	2015	178.591146988379	2.13842810254591	0.468708008213552	-0.0752540765419553	-0.270235162005537	0.119727008921626	0.0973611563548904	0.0672173709954167	0.127504941714364	0.00989666308115911	0.000236537169395931	-0.00106631225482424	0.00585469706378071	0.00239283035495218	0.179716105496258
"335a"	1216	"Spring Bay"	"Australia"	"pacific"	-42.53	147.92	1985	2016	172.517988800747	1.90891273915072	0.373716416597967	-0.183265596767084	-0.468787012160537	0.102255818626368	0.0829438262254756	0.0510588484634152	0.114828803987536	0.0212217499792305	0.000264652532889415	-0.00198227292094817	0.0052263182454503	-0.00129999964095093	0.147473427250062
"334a"	637	"Townsville"	"Australia"	"pacific"	-19.25	146.83	1984	2016	182.137186978297	1.43295075125209	0.880950364833355	-0.263724950567728	-0.544584136103009	0.017134234967554	0.146126398656975	0.0886180973501929	0.203634699963756	0.0205343557698969	0.000860924162814274	-0.00360417221092172	0.00392320534223706	-0.00199135469919813	0.394041901128916
"281a"	726	"Cananeia-A"	"Brazil"	"atlantic"	-25.02	-47.92	1954	2006	182.198215423837	2.73530114722753	0.578777640327818	-0.19176000615037	-0.349891174597811	-0.0336288377029289	0.114236975443698	0.0883824361239578	0.140091514763439	0.00650936730073673	0.000174011289626484	-0.000869062788523281	0.00748884639898024	-0.00431461588633096	0.246669187706847
"280a"	1032	"Ilha Fiscal,RJ"	"Brazil"	"atlantic"	-22.88	-43.15	1963	2013	189.428614613923	2.1662204180342	0.475331826896741	0.0230593023605215	-0.140810733970929	0.186929338691972	0.088262269519269	0.0659167356502392	0.110607803388299	0.00699041433494233	0.000129982620457124	-0.000596730657469923	0.00593078827661657	0.0061755535046752	0.21080891290129
"gesla_1258"	554	"Alert Bay, BC"	"Canada"	"pacific"	50.587	-126.931	1945	1979	180.658803039899	1.75140233420791	0.925751419364738	-0.190684532545094	-0.448148008016174	0.0667789429259862	0.15686949494982	0.0989984554856603	0.21474053441398	0.0172557989804691	0.000871819109610348	-0.00316343515623483	0.00479507825929612	0.00581122213321761	0.391805348427966
